,Oakland,Elmhurst
B01003_001E Total,392890.0,36810.0
B01003_001M Standard Error For!!Total,58.358662613981764,1065.2286070567575
B19001_001E Total:,154257.0,9881.0
"B19001_002E Less than $10,000",12061.0,985.0
"B19001_003E $10,000 to $14,999",12091.0,707.0
"B19001_004E $15,000 to $19,999",9656.0,752.0
"B19001_005E $20,000 to $24,999",8690.0,538.0
"B19001_006E $25,000 to $29,999",6983.0,690.0
"B19001_007E $30,000 to $34,999",7281.0,903.0
"B19001_008E $35,000 to $39,999",6070.0,460.0
"B19001_009E $40,000 to $44,999",6249.0,520.0
"B19001_010E $45,000 to $49,999",5910.0,433.0
"B19001_011E $50,000 to $59,999",11558.0,714.0
"B19001_012E $60,000 to $74,999",13010.0,883.0
"B19001_013E $75,000 to $99,999",16158.0,1015.0
"B19001_014E $100,000 to $124,999",11945.0,677.0
"B19001_015E $125,000 to $149,999",6926.0,273.0
"B19001_016E $150,000 to $199,999",8997.0,244.0
"B19001_017E $200,000 or more",10672.0,87.0
B19001_001M Standard Error for!!Total:,794.5288753799392,161.02998088137994
"B19001_002M Standard Error for!!Less than $10,000",431.6109422492401,124.56518919482691
"B19001_003M Standard Error for!!$10,000 to $14,999",427.9635258358663,101.35946430339395
"B19001_004M Standard Error for!!$15,000 to $19,999",336.7781155015198,111.52323205319028
"B19001_005M Standard Error for!!$20,000 to $24,999",404.8632218844985,88.07669435270435
"B19001_006M Standard Error for!!$25,000 to $29,999",394.5288753799392,100.52660192225044
"B19001_007M Standard Error for!!$30,000 to $34,999",324.0121580547112,116.61913296172355
"B19001_008M Standard Error for!!$35,000 to $39,999",302.12765957446805,81.9677438049454
"B19001_009M Standard Error for!!$40,000 to $44,999",275.37993920972644,85.45521217106483
"B19001_010M Standard Error for!!$45,000 to $49,999",334.3465045592705,81.99478991560387
"B19001_011M Standard Error for!!$50,000 to $59,999",482.67477203647417,103.55779669314202
"B19001_012M Standard Error for!!$60,000 to $74,999",440.12158054711244,114.29218115312847
"B19001_013M Standard Error for!!$75,000 to $99,999",519.1489361702128,125.76830337531351
"B19001_014M Standard Error for!!$100,000 to $124,999",410.94224924012155,102.843417423345
"B19001_015M Standard Error for!!$125,000 to $149,999",319.1489361702128,62.50174376961544
"B19001_016M Standard Error for!!$150,000 to $199,999",321.580547112462,63.97436224878172
"B19001_017M Standard Error for!!$200,000 or more",355.01519756838906,34.08594715836155
B08134_001E Total:,167144.0,12570.0
B08134_002E Less than 10 minutes,10575.0,504.0
B08134_003E 10 to 14 minutes,20687.0,1057.0
B08134_004E 15 to 19 minutes,27972.0,2620.0
B08134_005E 20 to 24 minutes,26292.0,2413.0
B08134_006E 25 to 29 minutes,9004.0,815.0
B08134_007E 30 to 34 minutes,27735.0,2248.0
B08134_008E 35 to 44 minutes,12647.0,729.0
B08134_009E 45 to 59 minutes,15483.0,774.0
B08134_010E 60 or more minutes,16749.0,1410.0
"B08134_011E Car, truck, or van:",119731.0,10203.0
"B08134_012E Car, truck, or van:!!Less than 10 minutes",7581.0,453.0
"B08134_013E Car, truck, or van:!!10 to 14 minutes",17286.0,946.0
"B08134_014E Car, truck, or van:!!15 to 19 minutes",23657.0,2410.0
"B08134_015E Car, truck, or van:!!20 to 24 minutes",20633.0,2040.0
"B08134_016E Car, truck, or van:!!25 to 29 minutes",6825.0,698.0
"B08134_017E Car, truck, or van:!!30 to 34 minutes",18936.0,1831.0
"B08134_018E Car, truck, or van:!!35 to 44 minutes",7686.0,454.0
"B08134_019E Car, truck, or van:!!45 to 59 minutes",8856.0,564.0
"B08134_020E Car, truck, or van:!!60 or more minutes",8271.0,807.0
"B08134_021E Car, truck, or van:!!Drove alone:",100657.0,8240.0
"B08134_022E Car, truck, or van:!!Drove alone:!!Less than 10 minutes",6772.0,359.0
"B08134_023E Car, truck, or van:!!Drove alone:!!10 to 14 minutes",15311.0,880.0
"B08134_024E Car, truck, or van:!!Drove alone:!!15 to 19 minutes",20400.0,2051.0
"B08134_025E Car, truck, or van:!!Drove alone:!!20 to 24 minutes",17559.0,1724.0
"B08134_026E Car, truck, or van:!!Drove alone:!!25 to 29 minutes",5747.0,540.0
"B08134_027E Car, truck, or van:!!Drove alone:!!30 to 34 minutes",15517.0,1416.0
"B08134_028E Car, truck, or van:!!Drove alone:!!35 to 44 minutes",6097.0,310.0
"B08134_029E Car, truck, or van:!!Drove alone:!!45 to 59 minutes",7129.0,466.0
"B08134_030E Car, truck, or van:!!Drove alone:!!60 or more minutes",6125.0,494.0
"B08134_031E Car, truck, or van:!!Carpooled:",19074.0,1963.0
"B08134_032E Car, truck, or van:!!Carpooled:!!Less than 10 minutes",809.0,94.0
"B08134_033E Car, truck, or van:!!Carpooled:!!10 to 14 minutes",1975.0,66.0
"B08134_034E Car, truck, or van:!!Carpooled:!!15 to 19 minutes",3257.0,359.0
"B08134_035E Car, truck, or van:!!Carpooled:!!20 to 24 minutes",3074.0,316.0
"B08134_036E Car, truck, or van:!!Carpooled:!!25 to 29 minutes",1078.0,158.0
