,Total:,No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,county
06001400100,1442.0,43.0,39.0,197.0,638.0,400.0,125.0,ala
06001400200,942.0,65.0,124.0,259.0,326.0,160.0,8.0,ala
06001400300,2703.0,290.0,875.0,850.0,446.0,183.0,59.0,ala
06001400400,1953.0,113.0,581.0,578.0,438.0,162.0,81.0,ala
06001400500,1709.0,68.0,565.0,562.0,395.0,96.0,23.0,ala
06001400600,769.0,23.0,195.0,257.0,258.0,26.0,10.0,ala
06001400700,2009.0,133.0,481.0,910.0,316.0,111.0,58.0,ala
06001400800,1676.0,180.0,429.0,536.0,445.0,29.0,57.0,ala
06001400900,1196.0,114.0,266.0,479.0,209.0,105.0,23.0,ala
06001401000,2705.0,96.0,686.0,965.0,742.0,216.0,0.0,ala
06001401100,2218.0,248.0,1094.0,425.0,373.0,62.0,16.0,ala
06001401200,1386.0,53.0,365.0,560.0,335.0,73.0,0.0,ala
06001401300,1857.0,410.0,887.0,353.0,147.0,0.0,60.0,ala
06001401400,1853.0,246.0,490.0,629.0,350.0,127.0,11.0,ala
06001401500,1243.0,179.0,345.0,337.0,340.0,17.0,25.0,ala
06001401600,968.0,0.0,180.0,470.0,235.0,62.0,21.0,ala
06001401700,841.0,24.0,145.0,398.0,229.0,24.0,21.0,ala
06001401800,860.0,87.0,131.0,292.0,272.0,26.0,52.0,ala
06001402200,1044.0,120.0,167.0,266.0,354.0,77.0,60.0,ala
06001402400,1192.0,167.0,215.0,332.0,271.0,60.0,147.0,ala
06001402500,867.0,36.0,141.0,297.0,312.0,81.0,0.0,ala
06001402600,617.0,64.0,323.0,119.0,71.0,17.0,23.0,ala
06001402700,798.0,69.0,212.0,244.0,173.0,0.0,100.0,ala
06001402800,1544.0,631.0,625.0,146.0,63.0,23.0,56.0,ala
06001402900,920.0,303.0,570.0,28.0,0.0,0.0,19.0,ala
06001403000,1587.0,247.0,729.0,489.0,56.0,66.0,0.0,ala
06001403100,629.0,214.0,145.0,202.0,44.0,0.0,24.0,ala
06001403300,2322.0,252.0,1185.0,721.0,131.0,25.0,8.0,ala
06001403400,3046.0,541.0,1916.0,512.0,49.0,0.0,28.0,ala
06001403501,2556.0,371.0,1579.0,441.0,124.0,17.0,24.0,ala
06001403502,1376.0,91.0,902.0,302.0,69.0,12.0,0.0,ala
06001403600,2978.0,166.0,1589.0,922.0,177.0,52.0,72.0,ala
06001403701,2058.0,512.0,1025.0,457.0,47.0,0.0,17.0,ala
06001403702,1216.0,96.0,697.0,390.0,33.0,0.0,0.0,ala
06001403800,2053.0,222.0,657.0,607.0,292.0,198.0,77.0,ala
06001403900,2405.0,85.0,982.0,1062.0,149.0,34.0,93.0,ala
06001404000,1866.0,50.0,979.0,712.0,71.0,12.0,42.0,ala
06001404101,1919.0,203.0,755.0,704.0,180.0,77.0,0.0,ala
06001404102,1750.0,253.0,1073.0,234.0,116.0,58.0,16.0,ala
06001404200,1473.0,0.0,170.0,275.0,477.0,431.0,120.0,ala
06001404300,1423.0,0.0,58.0,458.0,474.0,361.0,72.0,ala
06001404400,2442.0,0.0,205.0,822.0,708.0,567.0,140.0,ala
06001404501,739.0,0.0,32.0,81.0,367.0,202.0,57.0,ala
06001404502,2615.0,16.0,57.0,557.0,1221.0,540.0,224.0,ala
06001404600,1929.0,0.0,0.0,289.0,848.0,677.0,115.0,ala
06001404700,859.0,0.0,7.0,194.0,439.0,170.0,49.0,ala
06001404800,1353.0,118.0,336.0,481.0,329.0,69.0,20.0,ala
06001404900,2030.0,15.0,440.0,778.0,588.0,172.0,37.0,ala
06001405000,1691.0,43.0,314.0,415.0,624.0,254.0,41.0,ala
06001405100,1685.0,0.0,65.0,113.0,877.0,528.0,102.0,ala
06001405200,2717.0,138.0,1110.0,686.0,412.0,247.0,124.0,ala
06001405301,1733.0,113.0,766.0,772.0,40.0,27.0,15.0,ala
06001405302,1663.0,294.0,1064.0,249.0,56.0,0.0,0.0,ala
06001405401,1837.0,286.0,858.0,385.0,152.0,116.0,40.0,ala
