,Total:,No bedroom,1 bedroom,2 bedrooms,3 bedrooms,4 bedrooms,5 or more bedrooms,state,county,tract
06001400100,1413.0,17.0,72.0,232.0,560.0,439.0,93.0,06,001,400100
06001400200,913.0,16.0,151.0,248.0,326.0,147.0,25.0,06,001,400200
06001400300,2622.0,251.0,797.0,846.0,421.0,173.0,134.0,06,001,400300
06001400400,1920.0,112.0,457.0,722.0,448.0,104.0,77.0,06,001,400400
06001400500,1678.0,89.0,430.0,585.0,381.0,160.0,33.0,06,001,400500
06001400600,769.0,36.0,222.0,169.0,313.0,6.0,23.0,06,001,400600
06001400700,1962.0,210.0,445.0,801.0,344.0,104.0,58.0,06,001,400700
06001400800,1736.0,101.0,388.0,792.0,379.0,55.0,21.0,06,001,400800
06001400900,1175.0,63.0,335.0,530.0,166.0,48.0,33.0,06,001,400900
06001401000,2657.0,115.0,761.0,938.0,685.0,158.0,0.0,06,001,401000
06001401100,2140.0,247.0,816.0,522.0,397.0,137.0,21.0,06,001,401100
06001401200,1329.0,122.0,450.0,489.0,228.0,35.0,5.0,06,001,401200
06001401300,1896.0,430.0,905.0,320.0,197.0,15.0,29.0,06,001,401300
06001401400,1847.0,279.0,402.0,568.0,430.0,131.0,37.0,06,001,401400
06001401500,1239.0,194.0,332.0,438.0,208.0,39.0,28.0,06,001,401500
06001401600,891.0,25.0,188.0,320.0,259.0,67.0,32.0,06,001,401600
06001401700,1058.0,103.0,237.0,369.0,304.0,2.0,43.0,06,001,401700
06001401800,846.0,60.0,158.0,268.0,240.0,56.0,64.0,06,001,401800
06001402200,1028.0,114.0,188.0,377.0,239.0,66.0,44.0,06,001,402200
06001402400,1199.0,138.0,278.0,372.0,212.0,91.0,108.0,06,001,402400
06001402500,808.0,35.0,158.0,287.0,244.0,84.0,0.0,06,001,402500
06001402600,609.0,93.0,281.0,127.0,50.0,37.0,21.0,06,001,402600
06001402700,784.0,81.0,185.0,190.0,195.0,53.0,80.0,06,001,402700
06001402800,1844.0,684.0,695.0,276.0,107.0,30.0,52.0,06,001,402800
06001402900,862.0,270.0,540.0,23.0,11.0,0.0,18.0,06,001,402900
06001403000,1595.0,208.0,775.0,494.0,84.0,10.0,24.0,06,001,403000
06001403100,646.0,177.0,149.0,256.0,43.0,0.0,21.0,06,001,403100
06001403300,2455.0,242.0,1175.0,924.0,71.0,36.0,7.0,06,001,403300
06001403400,3150.0,681.0,1736.0,564.0,147.0,22.0,0.0,06,001,403400
06001403501,2559.0,243.0,1663.0,429.0,144.0,13.0,67.0,06,001,403501
06001403502,1323.0,116.0,707.0,385.0,115.0,0.0,0.0,06,001,403502
06001403600,2896.0,128.0,1854.0,684.0,119.0,71.0,40.0,06,001,403600
