,B08301_001E Total:,B08301_001M Margin Of Error For!!Total:,B08301_010E Public transportation (excluding taxicab):,B08301_010M Margin Of Error For!!Public transportation (excluding taxicab):
0600135,615.0,197.0,130.0,98.0
0600156,331.0,428.0,0.0,13.0
0600212,3208.0,297.0,16.0,24.0
0600296,7142.0,803.0,129.0,117.0
0600310,122.0,64.0,0.0,13.0
0600394,9968.0,530.0,38.0,37.0
0600450,1587.0,318.0,0.0,13.0
0600464,506.0,329.0,0.0,13.0
0600478,614.0,265.0,0.0,13.0
0600535,373.0,164.0,31.0,36.0
0600562,37206.0,957.0,5867.0,629.0
0600618,6415.0,467.0,443.0,130.0
0600674,8674.0,423.0,1903.0,270.0
0600716,126.0,80.0,0.0,13.0
0600786,213.0,176.0,0.0,13.0
0600884,40482.0,773.0,1751.0,300.0
0600898,299.0,105.0,0.0,13.0
0600947,26402.0,724.0,221.0,122.0
0600982,7.0,10.0,0.0,13.0
0600996,812.0,170.0,7.0,12.0
0601010,101.0,44.0,0.0,13.0
0601094,0.0,13.0,0.0,13.0
0601150,3631.0,412.0,216.0,143.0
0601164,218.0,56.0,0.0,13.0
0601192,6283.0,550.0,75.0,75.0
0601228,35.0,16.0,0.0,13.0
0601276,243.0,79.0,0.0,13.0
0601290,20653.0,851.0,878.0,274.0
0601360,2789.0,316.0,28.0,44.0
0601416,321.0,104.0,11.0,17.0
0601444,1116.0,171.0,0.0,13.0
0601458,4995.0,598.0,194.0,96.0
0601514,97.0,54.0,0.0,13.0
0601640,8670.0,395.0,174.0,96.0
0601651,1326.0,244.0,14.0,23.0
0602000,151676.0,1886.0,7374.0,870.0
0602028,183.0,122.0,0.0,13.0
0602042,3564.0,362.0,0.0,20.0
0602112,1477.0,270.0,0.0,13.0
0602168,1751.0,292.0,22.0,21.0
0602210,20519.0,869.0,179.0,111.0
0602252,42691.0,1345.0,2118.0,435.0
0602294,872.0,277.0,0.0,13.0
0602364,23492.0,960.0,402.0,142.0
0602378,3300.0,403.0,41.0,37.0
0602382,800.0,196.0,38.0,61.0
0602420,1124.0,230.0,0.0,13.0
0602462,25743.0,652.0,753.0,162.0
0602476,7853.0,655.0,117.0,71.0
0602553,38877.0,1165.0,1443.0,351.0
0602700,1273.0,248.0,0.0,13.0
0602770,1092.0,372.0,9.0,14.0
0602812,1124.0,218.0,0.0,13.0
0602868,7790.0,413.0,50.0,51.0
0602896,7888.0,482.0,269.0,155.0
0602910,95.0,88.0,0.0,13.0
0602924,6705.0,625.0,24.0,26.0
0602980,9468.0,607.0,1109.0,289.0
0603026,33.0,47.0,0.0,13.0
0603064,13167.0,569.0,182.0,103.0
0603092,2332.0,204.0,74.0,57.0
0603162,9462.0,484.0,38.0,34.0
0603190,872.0,227.0,0.0,13.0
0603204,5802.0,393.0,68.0,55.0
0603205,1581.0,255.0,24.0,38.0
0603209,2471.0,532.0,6.0,9.0
0603274,1970.0,198.0,67.0,82.0
0603302,4298.0,549.0,22.0,37.0
0603316,158.0,120.0,0.0,13.0
0603330,594.0,182.0,0.0,13.0
0603344,6582.0,584.0,212.0,92.0
0603386,21021.0,674.0,1129.0,374.0
0603512,289.0,93.0,3.0,6.0
0603526,139557.0,2034.0,1715.0,349.0
0603666,30754.0,930.0,1431.0,286.0
0603694,249.0,56.0,0.0,13.0
0603708,138.0,67.0,0.0,13.0
0603792,130.0,52.0,0.0,13.0
0603820,8871.0,532.0,56.0,44.0
0604030,8616.0,650.0,304.0,144.0
0604198,250.0,159.0,0.0,13.0
0604415,8532.0,651.0,814.0,289.0
0604470,978.0,231.0,42.0,39.0
0604478,1249.0,361.0,16.0,18.0
0604576,637.0,123.0,0.0,13.0
0604632,50.0,43.0,0.0,13.0
0604716,47.0,48.0,0.0,13.0
0604730,65.0,79.0,0.0,13.0
0604734,1864.0,288.0,12.0,21.0
0604758,14627.0,617.0,72.0,67.0
0604772,156.0,99.0,0.0,13.0
0604856,0.0,13.0,0.0,13.0
0604870,13250.0,553.0,1185.0,253.0
0604926,904.0,229.0,0.0,13.0
0604938,1170.0,293.0,15.0,24.0
0604982,32087.0,880.0,1354.0,253.0
0604996,16261.0,708.0,1330.0,260.0
0605108,13244.0,546.0,688.0,187.0
0605164,596.0,81.0,65.0,34.0
0605262,260.0,172.0,0.0,13.0
0605276,270.0,84.0,0.0,13.0
0605290,13207.0,526.0,482.0,153.0
0605332,3056.0,295.0,29.0,47.0
0605346,36.0,31.0,0.0,13.0
0606000,53356.0,1251.0,10559.0,736.0
0606028,3141.0,373.0,0.0,18.0
0606070,359.0,101.0,0.0,13.0
0606150,723.0,162.0,0.0,13.0
0606210,568.0,200.0,0.0,13.0
0606308,16422.0,511.0,425.0,145.0
0606336,113.0,69.0,0.0,13.0
0606406,4437.0,918.0,0.0,20.0
0606434,1852.0,234.0,2.0,4.0
0606475,18.0,16.0,4.0,9.0
0606518,110.0,50.0,0.0,13.0
0606560,529.0,110.0,0.0,13.0
0606567,14.0,12.0,0.0,13.0
0606616,874.0,149.0,0.0,13.0
0606635,417.0,109.0,0.0,13.0
0606728,197.0,133.0,0.0,13.0
0606798,2021.0,192.0,0.0,13.0
0606928,4079.0,420.0,118.0,94.0
