,P030001 Total: Workers 16 years and over,P030005 Total:  Public transportation:
0600212,957.0,0.0
0600296,4650.0,31.0
0600394,10166.0,90.0
0600562,37327.0,5870.0
0600618,6797.0,345.0
0600674,8568.0,1659.0
0600884,36538.0,1674.0
0600947,23614.0,264.0
0601094,0.0,0.0
0601150,3418.0,181.0
0601164,158.0,0.0
0601192,6386.0,29.0
0601228,70.0,0.0
0601290,19483.0,531.0
0601360,2601.0,8.0
0601444,990.0,0.0
0601458,5417.0,149.0
0601514,125.0,0.0
0601640,4164.0,62.0
0601651,1039.0,29.0
0602000,139343.0,6342.0
0602042,3278.0,19.0
0602132,1248.0,0.0
0602168,1859.0,0.0
0602252,40712.0,1764.0
0602364,19358.0,161.0
0602378,5161.0,105.0
0602382,1191.0,14.0
0602420,922.0,0.0
0602462,22935.0,556.0
0602476,8091.0,193.0
0602553,44661.0,1564.0
0602700,1148.0,24.0
0602770,1768.0,19.0
0602812,1434.0,11.0
0602868,7095.0,16.0
0602896,6596.0,191.0
0602924,3034.0,9.0
0602980,8874.0,862.0
0603064,12056.0,49.0
0603092,3105.0,100.0
0603162,8668.0,88.0
0603190,780.0,0.0
0603204,5907.0,31.0
0603209,2390.0,23.0
0603274,1598.0,59.0
0603302,2478.0,53.0
0603316,278.0,0.0
0603344,5305.0,177.0
0603386,17520.0,685.0
0603526,99769.0,1725.0
0603666,25230.0,1221.0
0603820,7388.0,113.0
0604030,7880.0,177.0
0604415,8514.0,724.0
0604478,990.0,16.0
0604503,1822.0,100.0
0604541,6830.0,95.0
0604576,2433.0,18.0
0604716,57.0,0.0
0604734,1557.0,2.0
0604758,4290.0,53.0
0604772,118.0,0.0
0604856,9.0,0.0
0604870,12031.0,1274.0
0604982,28542.0,962.0
0604996,12474.0,1450.0
0605108,13919.0,527.0
0605164,864.0,113.0
0605290,13756.0,577.0
0605332,1342.0,41.0
0606000,54674.0,10156.0
0606028,3007.0,20.0
0606150,767.0,28.0
0606210,1003.0,0.0
0606308,15673.0,456.0
0606406,2810.0,87.0
0606434,2364.0,10.0
0606475,45.0,0.0
0606560,637.0,5.0
0606616,588.0,2.0
0606635,384.0,4.0
0606728,383.0,0.0
0606798,1611.0,0.0
0606933,4712.0,149.0
0606982,660.0,17.0
0606994,31.0,0.0
0607064,5871.0,60.0
0607162,556.0,0.0
0607172,52.0,0.0
0607218,4416.0,10.0
0607260,714.0,0.0
0607274,456.0,0.0
0607316,708.0,4.0
0607372,83.0,0.0
0607379,3594.0,0.0
0607414,5394.0,16.0
0607498,1562.0,26.0
0607525,500.0,10.0
0607568,770.0,0.0
0607578,575.0,0.0
0607596,1085.0,0.0
0607624,6342.0,141.0
0607652,2325.0,46.0
0607750,42.0,0.0
0607848,3092.0,58.0
0607946,407.0,8.0
0607974,89.0,0.0
0608058,7163.0,129.0
0608100,17966.0,177.0
0608142,9229.0,197.0
0608172,1290.0,6.0
0608310,2079.0,117.0
0608338,1915.0,244.0
0608744,0.0,0.0
0608758,1864.0,32.0
0608786,33562.0,992.0
0608848,798.0,116.0
0608954,48430.0,1240.0
0608968,2869.0,157.0
0609066,15202.0,1157.0
0609122,1166.0,0.0
0609332,404.0,0.0
0609346,327.0,0.0
0609353,1333.0,14.0
0609360,627.0,12.0
0609598,10136.0,59.0
0609710,8220.0,275.0
0609780,3315.0,22.0
0609864,2781.0,19.0
0609878,964.0,4.0
0609892,2290.0,0.0
0610032,219.0,0.0
0610046,26453.0,129.0
0610074,2773.0,23.0
0610088,1616.0,12.0
0610256,7247.0,134.0
0610345,21410.0,415.0
0610559,5776.0,31.0
0610561,4318.0,20.0
0610816,196.0,0.0
0610914,7.0,0.0
0610928,4450.0,49.0
0611040,5699.0,74.0
0611166,0.0,0.0
0611194,38644.0,823.0
0611250,1990.0,34.0
0611324,2573.0,14.0
0611390,23586.0,587.0
0611446,7075.0,216.0
0611481,53.0,0.0
0611530,36500.0,1070.0
0611600,51.0,0.0
0611614,816.0,26.0
0611656,1540.0,9.0
0611691,8776.0,67.0
0611964,28564.0,1879.0
0611978,2184.0,78.0
0612048,16866.0,479.0
0612132,1350.0,0.0
0612524,12839.0,145.0
0612552,23932.0,299.0
0612612,311.0,0.0
0612669,1837.0,30.0
0612734,4339.0,120.0
0612902,5577.0,499.0
0612916,2182.0,7.0
0612930,1019.0,0.0
0613014,26947.0,506.0
0613077,165.0,0.0
0613157,582.0,0.0
0613182,60.0,0.0
0613210,26472.0,381.0
0613214,31769.0,642.0
0613294,2587.0,0.0
0613364,458.0,8.0
0613392,72813.0,3030.0
0613560,4377.0,160.0
0613588,41152.0,704.0
0613756,15805.0,453.0
0613882,5660.0,486.0
0613945,3206.0,20.0
0613966,507.0,0.0
0614106,39.0,0.0
0614190,3027.0,14.0
0614218,30959.0,184.0
0614232,356.0,11.0
0614260,7216.0,93.0
0614274,4039.0,0.0
0614302,749.0,0.0
0614498,663.0,5.0
0614736,501.0,54.0
0614890,18354.0,335.0
0614904,912.0,0.0
0614946,2218.0,13.0
0614974,3882.0,238.0
0615044,26282.0,2207.0
0616000,58700.0,5662.0
0616035,361.0,0.0
0616210,1031.0,0.0
0616224,2902.0,65.0
0616322,2301.0,42.0
0616350,56209.0,662.0
0616378,13766.0,377.0
0616434,1407.0,23.0
0616462,5000.0,438.0
0616532,55630.0,2635.0
0616560,3426.0,149.0
0616580,5921.0,26.0
0616630,1181.0,4.0
0616651,3707.0,55.0
0616728,398.0,0.0
0616742,20902.0,916.0
0617022,1202.0,10.0
0617030,1536.0,38.0
0617050,108.0,0.0
0617106,1302.0,0.0
0617162,4768.0,94.0
0617267,16.0,0.0
0617274,1755.0,36.0
0617288,112.0,0.0
0617498,7277.0,731.0
0617568,19835.0,890.0
0617610,23772.0,209.0
0617708,1226.0,8.0
0617722,1388.0,0.0
0617750,22169.0,292.0
0617918,49640.0,8858.0
0617946,18499.0,467.0
