,P030001 Total: Workers 16 years and over,P030005 Total:  Public transportation:
06001400100,1480.0,124.0
06001400200,1235.0,258.0
06001400300,3236.0,700.0
06001400400,2322.0,450.0
06001400500,1928.0,395.0
06001400600,859.0,201.0
06001400700,2051.0,395.0
06001400800,1443.0,217.0
06001400900,1081.0,68.0
06001401000,2227.0,616.0
06001401100,2373.0,751.0
06001401200,1419.0,385.0
06001401300,1003.0,356.0
06001401400,1205.0,272.0
06001401500,739.0,356.0
06001401600,512.0,108.0
06001401700,693.0,150.0
06001401800,508.0,123.0
06001401900,359.0,60.0
06001402000,19.0,5.0
06001402100,369.0,150.0
06001402200,484.0,186.0
06001402300,196.0,62.0
06001402400,692.0,191.0
06001402500,525.0,192.0
06001402600,369.0,62.0
06001402700,721.0,203.0
06001402800,519.0,121.0
06001402900,626.0,235.0
06001403000,715.0,154.0
06001403100,400.0,84.0
06001403200,41.0,7.0
06001403300,996.0,230.0
06001403400,1902.0,522.0
06001403500,3741.0,1090.0
06001403600,2938.0,612.0
06001403700,2965.0,484.0
06001403800,2351.0,470.0
06001403900,2554.0,557.0
06001404000,1974.0,352.0
06001404100,3227.0,470.0
06001404200,1662.0,250.0
06001404300,1640.0,272.0
06001404400,2885.0,346.0
06001404501,887.0,111.0
06001404502,3357.0,390.0
06001404600,2508.0,236.0
06001404700,1043.0,113.0
06001404800,1506.0,259.0
06001404900,2476.0,496.0
06001405000,1960.0,267.0
06001405100,2226.0,197.0
06001405200,3194.0,584.0
06001405300,3490.0,905.0
06001405400,3339.0,661.0
06001405500,1849.0,234.0
06001405600,1682.0,357.0
06001405700,1484.0,243.0
06001405800,1734.0,262.0
06001405900,2466.0,490.0
06001406000,1650.0,167.0
06001406100,1354.0,292.0
06001406201,1579.0,315.0
06001406202,1495.0,324.0
06001406300,1321.0,255.0
06001406400,648.0,128.0
06001406500,2314.0,449.0
06001406600,3017.0,556.0
06001406700,2863.0,317.0
06001406800,1813.0,229.0
06001406900,1856.0,164.0
06001407000,2517.0,288.0
06001407100,2962.0,497.0
06001407200,2320.0,316.0
06001407300,911.0,130.0
06001407400,1244.0,255.0
06001407500,1267.0,301.0
06001407600,2376.0,379.0
06001407700,2043.0,214.0
06001407800,1172.0,121.0
06001407900,1610.0,213.0
06001408000,1215.0,134.0
06001408100,3334.0,357.0
06001408200,1684.0,284.0
06001408300,2277.0,336.0
06001408400,1245.0,217.0
06001408500,1424.0,253.0
06001408600,1880.0,294.0
06001408700,2186.0,167.0
06001408800,1343.0,268.0
06001408900,1034.0,199.0
06001409000,819.0,136.0
06001409100,558.0,40.0
06001409200,869.0,87.0
06001409300,1574.0,209.0
06001409400,1351.0,242.0
06001409500,988.0,166.0
06001409600,1450.0,128.0
06001409700,1449.0,193.0
06001409800,1188.0,158.0
06001409900,1820.0,169.0
06001410000,1365.0,111.0
06001410100,1126.0,162.0
06001410200,1260.0,140.0
06001410300,1056.0,99.0
06001410400,1291.0,172.0
06001420100,1197.0,181.0
06001420200,1449.0,369.0
06001420300,2410.0,338.0
06001420400,590.0,232.0
06001420500,1260.0,212.0
06001420600,1662.0,327.0
06001421100,1136.0,113.0
06001421200,1927.0,265.0
06001421300,2161.0,390.0
06001421400,886.0,77.0
06001421500,2198.0,224.0
06001421600,1972.0,284.0
06001421700,1792.0,326.0
06001421800,1239.0,225.0
06001421900,2022.0,335.0
06001422000,689.0,211.0
06001422100,1284.0,296.0
06001422200,1847.0,441.0
06001422300,2017.0,414.0
06001422400,2184.0,509.0
06001422500,2054.0,412.0
06001422600,243.0,14.0
06001422700,1930.0,244.0
06001422800,2400.0,447.0
06001422900,1232.0,252.0
06001423000,2746.0,556.0
06001423100,1941.0,415.0
06001423200,1327.0,249.0
06001423300,1533.0,322.0
06001423400,2278.0,458.0
06001423500,1485.0,282.0
06001423601,1589.0,236.0
06001423602,2763.0,508.0
06001423700,1432.0,182.0
06001423800,1775.0,304.0
06001423901,1183.0,294.0
06001423902,953.0,171.0
06001424001,1750.0,570.0
06001424002,706.0,130.0
06001425100,4155.0,791.0
06001426100,2758.0,263.0
06001426200,2358.0,241.0
06001427100,1660.0,218.0
06001427200,2162.0,245.0
06001427300,2356.0,382.0
06001427400,620.0,35.0
06001427500,365.0,36.0
06001427600,2057.0,464.0
06001427700,2847.0,536.0
06001427800,2522.0,380.0
06001427900,2506.0,398.0
06001428000,1704.0,358.0
06001428100,2252.0,346.0
06001428200,3249.0,398.0
06001428301,3106.0,421.0
06001428302,3913.0,643.0
06001428400,2419.0,381.0
06001428500,1759.0,306.0
06001428600,1830.0,323.0
06001430100,4643.0,422.0
06001430200,3501.0,164.0
06001430300,1687.0,126.0
06001430400,997.0,57.0
06001430500,2599.0,197.0
06001430600,2854.0,152.0
06001430700,1846.0,71.0
06001430800,2583.0,117.0
06001430900,2385.0,158.0
06001431000,1244.0,108.0
06001431100,1629.0,91.0
06001431200,3007.0,223.0
06001432100,1754.0,198.0
06001432200,1851.0,215.0
06001432300,1523.0,140.0
06001432400,2395.0,172.0
06001432500,3910.0,363.0
06001432600,3034.0,547.0
06001432700,1149.0,168.0
06001432800,1777.0,159.0
06001433000,1570.0,192.0
06001433101,3694.0,351.0
06001433102,1574.0,174.0
06001433200,3202.0,334.0
06001433300,2800.0,243.0
06001433400,3108.0,253.0
06001433500,1678.0,152.0
06001433600,2677.0,190.0
06001433700,1209.0,55.0
06001433800,3269.0,295.0
06001433900,2638.0,310.0
06001434000,1794.0,202.0
06001435101,5683.0,550.0
06001435102,2776.0,205.0
