,P001001 Population:Total [1,P015001 Households:Total,P008001 HISPANIC:TotalHispanic'&'NotHispanic,P008002 HISPANIC:Total NotHispanic or Latino,P008003 HISPANIC:NotHisp:White alone,P008004 HISPANIC:NotHisp:Bl/AfAm alone,P008005 HISPANIC:NotHisp:AmInd/AK alone,P008006 HISPANIC:NotHisp:Asian alone,P008007 HISPANIC:NotHisp:HI alone,P008008 HISPANIC:NotHisp:Other alone,P008009 HISPANIC:NotHisp:Two+races,P008010 HISPANIC:Total Hispanic or Latino,P008011 HISPANIC:Hisp:White alone,P008012 HISPANIC:Hisp:Bl/AfAm alone,P008013 HISPANIC:Hisp:AmInd/AK alone,P008014 HISPANIC:Hisp:Asian alone,P008015 HISPANIC:Hisp:HI alone,P008016 HISPANIC:Hisp:Other alone,P008017 HISPANIC:Hisp:Two+ races,H003001 OCCUPANCY STATUS:Housing Units:Total,H003002 OCCUPANCY STATUS:Housing Units:Occupied,H003003 OCCUPANCY STATUS:Housing Units:Vacant,H004001 TENURE:Housing Units:Total,H004002 TENURE:Housing Units:Owner occupied,H004003 TENURE:Housing Units:Renter occupied,P012001 SEX BY AGE:Total Male'&'Female,P012002 SEX BY AGE:Total Male,P012003 SEX BY AGE:Male:'<'5,P012004 SEX BY AGE:Male:5 to 9,P012005 SEX BY AGE:Male:10 to 14,P012006 SEX BY AGE:Male:15 to 17,P012007 SEX BY AGE:Male:18'&'19,P012008 SEX BY AGE:Male:20,P012009 SEX BY AGE:Male:21,P012010 SEX BY AGE:Male:22 to 24,P012011 SEX BY AGE:Male:25 to 29,P012012 SEX BY AGE:Male:30 to 34,P012013 SEX BY AGE:Male:35 to 39,P012014 SEX BY AGE:Male:40 to 44,P012015 SEX BY AGE:Male:45 to 49,P012016 SEX BY AGE:Male:50 to 54,P012017 SEX BY AGE:Male:55 to 59,P012018 SEX BY AGE:Male:60'&'61,P012019 SEX BY AGE:Male:62 to 64,P012020 SEX BY AGE:Male:65'&'66,P012021 SEX BY AGE:Male:67 to 69,P012022 SEX BY AGE:Male:70 to 74,P012023 SEX BY AGE:Male:75 to 79,P012024 SEX BY AGE:Male:80 to 84,P012025 SEX BY AGE:Male:85 yrs'&'over,P012026 SEX BY AGE:Total Female,P012027 SEX BY AGE:Female:'<'5,P012028 SEX BY AGE:Female:5 to 9,P012029 SEX BY AGE:Female:10 to 14,P012030 SEX BY AGE:Female:15 to 17,P012031 SEX BY AGE:Female:18'&'19,P012032 SEX BY AGE:Female:20,P012033 SEX BY AGE:Female:21,P012034 SEX BY AGE:Female:22 to 24,P012035 SEX BY AGE:Female:25 to 29,P012036 SEX BY AGE:Female:30 to 34,P012037 SEX BY AGE:Female:35 to 39,P012038 SEX BY AGE:Female:40 to 44,P012039 SEX BY AGE:Female:45 to 49,P012040 SEX BY AGE:Female:50 to 54,P012041 SEX BY AGE:Female:55 to 59,P012042 SEX BY AGE:Female:60'&'61,P012043 SEX BY AGE:Female:62 to 64,P012044 SEX BY AGE:Female:65'&'66,P012045 SEX BY AGE:Female:67 to 69,P012046 SEX BY AGE:Female:70 to 74,P012047 SEX BY AGE:Female:75 to 79,P012048 SEX BY AGE:Female:80 to 84,P012049 SEX BY AGE:Female:85 yrs'&'over
0600212,2390.0,797.0,2390.0,2127.0,2015.0,14.0,6.0,35.0,1.0,11.0,45.0,263.0,115.0,3.0,5.0,0.0,0.0,116.0,24.0,873.0,797.0,76.0,797.0,720.0,77.0,2390.0,1217.0,89.0,91.0,131.0,87.0,38.0,14.0,12.0,26.0,38.0,47.0,72.0,118.0,132.0,98.0,84.0,24.0,17.0,13.0,11.0,31.0,23.0,10.0,11.0,1173.0,55.0,91.0,139.0,49.0,25.0,12.0,8.0,20.0,43.0,55.0,115.0,138.0,107.0,109.0,48.0,22.0,31.0,15.0,18.0,31.0,26.0,7.0,9.0
0600296,18130.0,4714.0,18130.0,9831.0,6616.0,2305.0,124.0,274.0,27.0,36.0,449.0,8299.0,2531.0,72.0,168.0,16.0,5.0,4783.0,724.0,5547.0,4714.0,833.0,4714.0,3008.0,1706.0,18130.0,9698.0,982.0,1100.0,958.0,457.0,267.0,123.0,116.0,400.0,825.0,1028.0,1021.0,791.0,475.0,313.0,223.0,73.0,100.0,55.0,98.0,130.0,99.0,39.0,25.0,8432.0,956.0,1063.0,919.0,451.0,231.0,107.0,101.0,307.0,653.0,752.0,777.0,526.0,366.0,320.0,228.0,81.0,109.0,74.0,88.0,156.0,87.0,43.0,37.0
0600394,20537.0,6874.0,20537.0,19130.0,16993.0,268.0,27.0,1325.0,21.0,39.0,457.0,1407.0,865.0,4.0,24.0,10.0,0.0,390.0,114.0,6993.0,6874.0,119.0,6874.0,5761.0,1113.0,20537.0,10224.0,655.0,895.0,1103.0,650.0,271.0,98.0,111.0,250.0,388.0,529.0,732.0,951.0,1048.0,912.0,650.0,210.0,187.0,89.0,143.0,165.0,97.0,53.0,37.0,10313.0,586.0,831.0,957.0,578.0,210.0,71.0,68.0,223.0,426.0,610.0,912.0,1119.0,1125.0,948.0,642.0,164.0,154.0,85.0,132.0,173.0,137.0,86.0,76.0
0600562,72259.0,30226.0,72259.0,65534.0,37921.0,4350.0,365.0,18757.0,407.0,235.0,3499.0,6725.0,3227.0,138.0,119.0,137.0,27.0,2145.0,932.0,31644.0,30226.0,1418.0,30226.0,14486.0,15740.0,72259.0,34689.0,2034.0,2298.0,2273.0,1291.0,779.0,392.0,351.0,1146.0,2513.0,2891.0,3170.0,3172.0,2886.0,2588.0,1815.0,554.0,728.0,433.0,607.0,1018.0,847.0,543.0,360.0,37570.0,2023.0,2201.0,2186.0,1228.0,667.0,331.0,312.0,1116.0,2594.0,3079.0,3376.0,3451.0,3159.0,2777.0,1869.0,637.0,767.0,533.0,784.0,1337.0,1249.0,930.0,964.0
0600618,15626.0,5406.0,15626.0,15010.0,13637.0,72.0,25.0,930.0,18.0,38.0,290.0,616.0,482.0,2.0,9.0,5.0,0.0,62.0,56.0,5497.0,5406.0,91.0,5406.0,5059.0,347.0,15626.0,7755.0,519.0,660.0,717.0,367.0,150.0,37.0,33.0,100.0,149.0,216.0,539.0,689.0,734.0,828.0,671.0,212.0,254.0,127.0,167.0,267.0,164.0,106.0,49.0,7871.0,459.0,591.0,616.0,384.0,124.0,27.0,36.0,109.0,143.0,321.0,640.0,730.0,819.0,869.0,611.0,174.0,199.0,116.0,175.0,263.0,199.0,126.0,140.0
0600674,16444.0,7011.0,16444.0,15132.0,9461.0,644.0,53.0,4094.0,20.0,80.0,780.0,1312.0,617.0,31.0,11.0,32.0,2.0,441.0,178.0,7248.0,7011.0,237.0,7011.0,3550.0,3461.0,16444.0,7669.0,491.0,526.0,581.0,328.0,170.0,66.0,65.0,249.0,632.0,762.0,645.0,632.0,626.0,639.0,328.0,102.0,112.0,97.0,96.0,166.0,159.0,105.0,92.0,8775.0,497.0,499.0,539.0,297.0,129.0,81.0,81.0,322.0,694.0,785.0,792.0,805.0,757.0,731.0,428.0,120.0,114.0,111.0,137.0,246.0,227.0,184.0,199.0
0600884,85804.0,29111.0,85804.0,55351.0,11881.0,1255.0,181.0,40269.0,59.0,123.0,1583.0,30453.0,13877.0,182.0,433.0,251.0,27.0,13824.0,1859.0,30069.0,29111.0,958.0,29111.0,11421.0,17690.0,85804.0,40418.0,2721.0,2794.0,2710.0,1627.0,1104.0,546.0,557.0,1851.0,3677.0,3721.0,3538.0,3110.0,2698.0,2340.0,1622.0,583.0,786.0,487.0,723.0,1168.0,970.0,614.0,471.0,45386.0,2629.0,2680.0,2503.0,1509.0,1100.0,620.0,563.0,1985.0,4094.0,3943.0,3711.0,3407.0,3289.0,2716.0,2064.0,687.0,1003.0,663.0,937.0,1528.0,1401.0,1075.0,1279.0
0600947,40166.0,16147.0,40166.0,35486.0,28599.0,790.0,107.0,4367.0,78.0,102.0,1443.0,4680.0,2796.0,38.0,51.0,46.0,10.0,1309.0,430.0,16608.0,16147.0,461.0,16147.0,10724.0,5423.0,40166.0,19394.0,2016.0,1591.0,1056.0,549.0,272.0,124.0,135.0,512.0,1856.0,2910.0,2830.0,1929.0,1259.0,892.0,560.0,137.0,189.0,105.0,127.0,172.0,90.0,52.0,31.0,20772.0,2027.0,1583.0,1120.0,525.0,274.0,117.0,130.0,634.0,2312.0,3084.0,2731.0,1935.0,1383.0,1049.0,689.0,183.0,223.0,120.0,157.0,214.0,153.0,80.0,49.0
0601094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0601150,8622.0,2830.0,8622.0,5096.0,2269.0,1060.0,30.0,1395.0,31.0,17.0,294.0,3526.0,1315.0,28.0,40.0,12.0,5.0,1883.0,243.0,2933.0,2830.0,103.0,2830.0,1388.0,1442.0,8622.0,4340.0,412.0,390.0,294.0,193.0,116.0,61.0,65.0,202.0,326.0,386.0,396.0,354.0,280.0,232.0,182.0,46.0,79.0,46.0,57.0,90.0,71.0,43.0,19.0,4282.0,415.0,411.0,294.0,137.0,111.0,62.0,50.0,180.0,362.0,353.0,357.0,325.0,285.0,244.0,159.0,58.0,80.0,49.0,54.0,107.0,90.0,57.0,42.0
