,P0010001 Total Population,P0200001 Households,P0050001 Total population,P0050002 Not Hispanic or Latino:,P0050003 Not Hispanic or Latino: !! White alone,P0050004 Not Hispanic or Latino: !! Black or African American alone,P0050005 Not Hispanic or Latino: !! American Indian and Alaska Native alone,P0050006 Not Hispanic or Latino: !! Asian alone,P0050007 Not Hispanic or Latino: !! Native Hawaiian and Other Pacific Islander alone,P0050008 Not Hispanic or Latino: !! Some Other Race alone,P0050009 Not Hispanic or Latino: !! Two or More Races,P0050010 Hispanic or Latino: !! Two or More Races,P0050011 Hispanic or Latino: !! White alone,P0050012 Hispanic or Latino: !! Black or African American alone,P0050013 Hispanic or Latino: !! American Indian and Alaska Native alone,P0050014 Hispanic or Latino: !! Asian alone,P0050015 Hispanic or Latino: !! Native Hawaiian and Other Pacific Islander alone,P0050016 Hispanic or Latino: !! Some Other Race alone,P0050017 Hispanic or Latino: !! Two or More Races,H0030001 Housing units,H0030002 Occupied,H0030003 Vacant,H0040001 Occupied housing units,H0040002 Owned with a mortgage or a loan,H0040003 Owned free and clear,H0040004 Renter occupied,P0120001 Total population,P0120002 Male:,P0120003 Male: !! Under 5 years,P0120004 Male: !! 5 to 9 years,P0120005 Male: !! 10 to 14 years,P0120006 Male: !! 15 to 17 years,P0120007 Male: !! 18 and 19 years,P0120008 Male: !! 20 years,P0120009 Male: !! 21 years,P0120010 Male: !! 22 to 24 years,P0120011 Male: !! 25 to 29 years,P0120012 Male: !! 30 to 34 years,P0120013 Male: !! 35 to 39 years,P0120014 Male: !! 40 to 44 years,P0120015 Male: !! 45 to 49 years,P0120016 Male: !! 50 to 54 years,P0120017 Male: !! 55 to 59 years,P0120018 Male: !! 60 and 61 years,P0120019 Male: !! 62 to 64 years,P0120020 Male: !! 65 and 66 years,P0120021 Male: !! 67 to 69 years,P0120022 Male: !! 70 to 74 years,P0120023 Male: !! 75 to 79 years,P0120024 Male: !! 80 to 84 years,P0120025 Male: !! 85 years and over,P0120026 Female: !! 85 years and over,P0120027 Female: !! Under 5 years,P0120028 Female: !! 5 to 9 years,P0120029 Female: !! 10 to 14 years,P0120030 Female: !! 15 to 17 years,P0120031 Female: !! 18 and 19 years,P0120032 Female: !! 20 years,P0120033 Female: !! 21 years,P0120034 Female: !! 22 to 24 years,P0120035 Female: !! 25 to 29 years,P0120036 Female: !! 30 to 34 years,P0120037 Female: !! 35 to 39 years,P0120038 Female: !! 40 to 44 years,P0120039 Female: !! 45 to 49 years,P0120040 Female: !! 50 to 54 years,P0120041 Female: !! 55 to 59 years,P0120042 Female: !! 60 and 61 years,P0120043 Female: !! 62 to 64 years,P0120044 Female: !! 65 and 66 years,P0120045 Female: !! 67 to 69 years,P0120046 Female: !! 70 to 74 years,P0120047 Female: !! 75 to 79 years,P0120048 Female: !! 80 to 84 years,P0120049 Female: !! 85 years and over
0600135,1137.0,441.0,1137.0,1087.0,908.0,5.0,6.0,125.0,2.0,5.0,36.0,50.0,43.0,0.0,2.0,1.0,0.0,3.0,1.0,457.0,441.0,16.0,441.0,302.0,91.0,48.0,1137.0,553.0,30.0,36.0,39.0,25.0,15.0,1.0,2.0,7.0,16.0,25.0,31.0,40.0,40.0,45.0,55.0,29.0,31.0,13.0,19.0,19.0,19.0,7.0,9.0,584.0,29.0,37.0,47.0,22.0,4.0,3.0,4.0,9.0,13.0,22.0,35.0,50.0,43.0,57.0,58.0,23.0,30.0,13.0,26.0,18.0,19.0,15.0,7.0
0600156,341.0,94.0,341.0,142.0,113.0,0.0,0.0,3.0,8.0,0.0,18.0,199.0,56.0,0.0,1.0,0.0,0.0,136.0,6.0,99.0,94.0,5.0,94.0,36.0,20.0,38.0,341.0,182.0,14.0,18.0,19.0,8.0,3.0,2.0,2.0,12.0,10.0,14.0,13.0,5.0,16.0,12.0,9.0,2.0,6.0,1.0,3.0,10.0,2.0,1.0,0.0,159.0,13.0,12.0,9.0,12.0,4.0,2.0,3.0,9.0,14.0,7.0,9.0,7.0,16.0,15.0,5.0,2.0,0.0,6.0,3.0,5.0,3.0,1.0,2.0
0600212,7596.0,2660.0,7596.0,6223.0,5782.0,54.0,38.0,151.0,2.0,16.0,180.0,1373.0,782.0,3.0,32.0,4.0,3.0,435.0,114.0,2814.0,2660.0,154.0,2660.0,2044.0,342.0,274.0,7596.0,3798.0,176.0,219.0,257.0,219.0,112.0,57.0,53.0,128.0,134.0,111.0,161.0,239.0,395.0,454.0,373.0,118.0,171.0,80.0,110.0,105.0,82.0,23.0,21.0,3798.0,134.0,174.0,300.0,193.0,120.0,55.0,49.0,86.0,139.0,125.0,169.0,316.0,475.0,465.0,343.0,110.0,133.0,59.0,73.0,120.0,80.0,46.0,34.0
0600296,31765.0,7809.0,31765.0,13252.0,5395.0,6196.0,101.0,522.0,177.0,105.0,756.0,18513.0,8514.0,315.0,310.0,95.0,17.0,8232.0,1030.0,9086.0,7809.0,1277.0,7809.0,3999.0,514.0,3296.0,31765.0,16318.0,1681.0,1610.0,1704.0,1026.0,677.0,332.0,322.0,814.0,1355.0,1319.0,1104.0,1094.0,957.0,762.0,541.0,172.0,226.0,100.0,141.0,162.0,103.0,72.0,44.0,15447.0,1599.0,1599.0,1617.0,971.0,572.0,280.0,247.0,672.0,1146.0,1166.0,1103.0,1000.0,957.0,712.0,583.0,191.0,257.0,126.0,154.0,197.0,138.0,88.0,72.0
0600310,272.0,124.0,272.0,240.0,224.0,2.0,5.0,0.0,0.0,0.0,9.0,32.0,16.0,0.0,3.0,0.0,0.0,9.0,4.0,144.0,124.0,20.0,124.0,31.0,46.0,47.0,272.0,130.0,4.0,8.0,12.0,7.0,1.0,1.0,1.0,7.0,6.0,10.0,5.0,5.0,8.0,10.0,12.0,5.0,8.0,1.0,6.0,5.0,1.0,5.0,2.0,142.0,9.0,5.0,8.0,4.0,1.0,0.0,0.0,8.0,7.0,5.0,8.0,6.0,10.0,12.0,12.0,10.0,6.0,2.0,2.0,5.0,10.0,6.0,6.0
0600394,20330.0,7327.0,20330.0,18394.0,15971.0,256.0,26.0,1503.0,22.0,51.0,565.0,1936.0,1176.0,11.0,25.0,18.0,2.0,539.0,165.0,7585.0,7327.0,258.0,7327.0,4941.0,774.0,1612.0,20330.0,10021.0,464.0,656.0,812.0,590.0,289.0,139.0,118.0,335.0,472.0,446.0,519.0,709.0,862.0,918.0,904.0,287.0,411.0,217.0,229.0,259.0,156.0,112.0,117.0,10309.0,432.0,620.0,783.0,547.0,230.0,98.0,85.0,288.0,455.0,479.0,608.0,777.0,1061.0,1011.0,916.0,332.0,387.0,207.0,238.0,244.0,171.0,138.0,202.0
0600450,3342.0,1201.0,3342.0,2731.0,2524.0,50.0,19.0,69.0,2.0,4.0,63.0,611.0,330.0,9.0,5.0,9.0,1.0,219.0,38.0,1277.0,1201.0,76.0,1201.0,874.0,184.0,143.0,3342.0,1685.0,55.0,92.0,101.0,75.0,57.0,26.0,10.0,64.0,53.0,48.0,66.0,113.0,148.0,208.0,172.0,58.0,92.0,39.0,76.0,57.0,38.0,20.0,17.0,1657.0,66.0,83.0,107.0,66.0,44.0,26.0,32.0,51.0,52.0,47.0,78.0,131.0,160.0,205.0,154.0,66.0,73.0,50.0,64.0,41.0,25.0,14.0,22.0
0600464,1128.0,470.0,1128.0,854.0,781.0,11.0,15.0,23.0,0.0,1.0,23.0,274.0,148.0,0.0,5.0,1.0,0.0,108.0,12.0,984.0,470.0,514.0,470.0,203.0,178.0,89.0,1128.0,571.0,13.0,20.0,32.0,18.0,18.0,12.0,2.0,19.0,19.0,16.0,17.0,28.0,40.0,38.0,40.0,19.0,32.0,29.0,37.0,47.0,35.0,27.0,13.0,557.0,20.0,22.0,27.0,21.0,14.0,4.0,4.0,16.0,18.0,13.0,21.0,29.0,49.0,47.0,48.0,23.0,29.0,17.0,32.0,44.0,37.0,14.0,8.0
0600478,2246.0,898.0,2246.0,2050.0,1934.0,5.0,24.0,15.0,0.0,0.0,72.0,196.0,130.0,1.0,6.0,1.0,0.0,38.0,20.0,1030.0,898.0,132.0,898.0,450.0,261.0,187.0,2246.0,1087.0,35.0,62.0,74.0,38.0,26.0,9.0,13.0,37.0,39.0,38.0,54.0,62.0,79.0,71.0,77.0,44.0,70.0,34.0,46.0,70.0,49.0,43.0,17.0,1159.0,39.0,65.0,69.0,39.0,26.0,13.0,14.0,28.0,32.0,37.0,55.0,79.0,79.0,94.0,88.0,44.0,59.0,35.0,55.0,76.0,67.0,29.0,37.0
0600535,1964.0,511.0,1964.0,714.0,557.0,36.0,14.0,46.0,2.0,3.0,56.0,1250.0,551.0,5.0,33.0,20.0,1.0,561.0,79.0,588.0,511.0,77.0,511.0,127.0,45.0,339.0,1964.0,1006.0,100.0,84.0,83.0,43.0,42.0,17.0,16.0,47.0,85.0,76.0,55.0,66.0,80.0,74.0,44.0,16.0,20.0,8.0,12.0,20.0,9.0,8.0,1.0,958.0,85.0,93.0,85.0,38.0,37.0,19.0,13.0,40.0,67.0,86.0,51.0,67.0,59.0,72.0,48.0,14.0,21.0,5.0,13.0,21.0,6.0,7.0,11.0
