,P052001 Total: Households,"P052002 Total:  Less than $10,000","P052003 Total:  $10,000 to $14,999","P052004 Total:  $15,000 to $19,999","P052005 Total:  $20,000 to $24,999","P052006 Total:  $25,000 to $29,999","P052007 Total:  $30,000 to $34,999","P052008 Total:  $35,000 to $39,999","P052009 Total:  $40,000 to $44,999","P052010 Total:  $45,000 to $49,999","P052011 Total:  $50,000 to $59,999","P052012 Total:  $60,000 to $74,999","P052013 Total:  $75,000 to $99,999","P052014 Total:  $100,000 to $124,999","P052015 Total:  $125,000 to $149,999","P052016 Total:  $150,000 to $199,999","P052017 Total:  $200,000 or more",P053001 Median household income in 1999 Households,P014001 Total: Households,P030001 Total: Workers 16 years and over,"P030002 Total:  Car, truck, or van:","P030003 Total:  Car, truck, or van:  Drove alone","P030004 Total:  Car, truck, or van:  Carpooled",P030005 Total:  Public transportation:,P030006 Total:  Public transportation:  Bus or trolley bus,P030007 Total:  Public transportation:  Streetcar or trolley car (público in Puerto Rico),P030008 Total:  Public transportation:  Subway or elevated,P030009 Total:  Public transportation:  Railroad,P030010 Total:  Public transportation:  Ferryboat,P030011 Total:  Public transportation:  Taxicab,P030012 Total:  Motorcycle,P030013 Total:  Bicycle,P030014 Total:  Walked,P030015 Total:  Other means,P030016 Total:  Worked at home,P043001 Total: Population 16 years and over,P043002 Total:  Male:,P043009 Total:  Female:,P043003 Total:  Male:  In labor force:,P043004 Total:  Male:  In labor force:  In Armed Forces,P043005 Total:  Male:  In labor force:  Civilian:,P043006 Total:  Male:  In labor force:  Civilian:  Employed,P043007 Total:  Male:  In labor force:  Civilian:  Unemployed,P043008 Total:  Male:  Not in labor force,P043010 Total:  Female:  In labor force:,P043011 Total:  Female:  In labor force:  In Armed Forces,P043012 Total:  Female:  In labor force:  Civilian:,P043013 Total:  Female:  In labor force:  Civilian:  Employed,P043014 Total:  Female:  In labor force:  Civilian:  Unemployed,P043015 Total:  Female:  Not in labor force,H044001 Total: Occupied housing units,H044002 Total:  Owner occupied:,H044003 Total:  Owner occupied:  No vehicle available,H044004 Total:  Owner occupied:  1 vehicle available,H044005 Total:  Owner occupied:  2 vehicles available,H044006 Total:  Owner occupied:  3 vehicles available,H044007 Total:  Owner occupied:  4 vehicles available,H044008 Total:  Owner occupied:  5 or more vehicles available,H044009 Total:  Renter occupied:,H044010 Total:  Renter occupied:  No vehicle available,H044011 Total:  Renter occupied:  1 vehicle available,H044012 Total:  Renter occupied:  2 vehicles available,H044013 Total:  Renter occupied:  3 vehicles available,H044014 Total:  Renter occupied:  4 vehicles available,H044015 Total:  Renter occupied:  5 or more vehicles available
0600212,727.0,26.0,27.0,16.0,37.0,51.0,18.0,11.0,38.0,33.0,78.0,136.0,110.0,54.0,26.0,36.0,30.0,63156.0,727.0,957.0,895.0,816.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,1527.0,718.0,809.0,558.0,0.0,558.0,513.0,45.0,160.0,499.0,0.0,499.0,489.0,10.0,310.0,717.0,664.0,10.0,194.0,277.0,126.0,31.0,26.0,53.0,0.0,23.0,11.0,19.0,0.0,0.0
0600296,4750.0,572.0,461.0,404.0,433.0,396.0,276.0,364.0,298.0,333.0,470.0,408.0,246.0,63.0,13.0,5.0,8.0,31594.0,4750.0,4650.0,4274.0,3278.0,996.0,31.0,14.0,0.0,17.0,0.0,0.0,0.0,24.0,38.0,81.0,77.0,125.0,11828.0,6546.0,5282.0,3417.0,19.0,3398.0,3099.0,299.0,3129.0,2170.0,0.0,2170.0,1767.0,403.0,3112.0,4730.0,3018.0,149.0,750.0,1448.0,508.0,106.0,57.0,1712.0,420.0,784.0,426.0,73.0,9.0,0.0
0600394,6807.0,193.0,80.0,71.0,184.0,169.0,170.0,197.0,161.0,217.0,456.0,866.0,1161.0,854.0,500.0,619.0,909.0,87008.0,6807.0,10166.0,9247.0,8454.0,793.0,90.0,73.0,0.0,0.0,9.0,0.0,8.0,0.0,50.0,76.0,32.0,671.0,14899.0,7239.0,7660.0,5780.0,0.0,5780.0,5570.0,210.0,1459.0,4865.0,0.0,4865.0,4715.0,150.0,2795.0,6859.0,5762.0,97.0,981.0,2896.0,1268.0,397.0,123.0,1097.0,53.0,410.0,507.0,68.0,59.0,0.0
0600562,30259.0,1714.0,1164.0,1361.0,1329.0,1623.0,1613.0,1568.0,1348.0,1358.0,3051.0,3014.0,4284.0,2694.0,1495.0,1472.0,1171.0,56285.0,30259.0,37327.0,27984.0,23532.0,4452.0,5870.0,3192.0,7.0,1659.0,119.0,855.0,38.0,148.0,519.0,988.0,311.0,1507.0,58400.0,27794.0,30606.0,20594.0,718.0,19876.0,19063.0,813.0,7200.0,19208.0,86.0,19122.0,18228.0,894.0,11398.0,30226.0,14491.0,658.0,4736.0,6228.0,2189.0,434.0,246.0,15735.0,2176.0,8148.0,4487.0,672.0,155.0,97.0
0600618,5195.0,63.0,72.0,133.0,107.0,78.0,60.0,44.0,58.0,65.0,148.0,346.0,498.0,640.0,536.0,752.0,1595.0,137105.0,5195.0,6797.0,5703.0,5401.0,302.0,345.0,14.0,8.0,267.0,56.0,0.0,0.0,11.0,10.0,30.0,60.0,638.0,11357.0,5559.0,5798.0,4212.0,0.0,4212.0,4162.0,50.0,1347.0,2820.0,0.0,2820.0,2723.0,97.0,2978.0,5244.0,4924.0,62.0,519.0,2548.0,1211.0,441.0,143.0,320.0,6.0,149.0,115.0,43.0,7.0,0.0
0600674,7034.0,429.0,278.0,311.0,323.0,334.0,457.0,325.0,333.0,368.0,612.0,880.0,1059.0,573.0,319.0,314.0,119.0,54919.0,7034.0,8568.0,5669.0,4613.0,1056.0,1659.0,633.0,5.0,989.0,20.0,0.0,12.0,36.0,349.0,300.0,129.0,426.0,13065.0,5910.0,7155.0,4328.0,0.0,4328.0,4258.0,70.0,1582.0,4531.0,0.0,4531.0,4416.0,115.0,2624.0,7011.0,3558.0,219.0,1399.0,1591.0,240.0,79.0,30.0,3453.0,310.0,2016.0,972.0,126.0,16.0,13.0
0600884,29126.0,2815.0,2063.0,2185.0,2049.0,1981.0,1825.0,1884.0,1563.0,1529.0,2590.0,2878.0,3014.0,1326.0,627.0,448.0,349.0,39213.0,29126.0,36538.0,32751.0,27497.0,5254.0,1674.0,1611.0,10.0,27.0,0.0,0.0,26.0,32.0,112.0,962.0,203.0,804.0,68824.0,31872.0,36952.0,20729.0,28.0,20701.0,19117.0,1584.0,11143.0,19462.0,0.0,19462.0,18304.0,1158.0,17490.0,29111.0,11399.0,601.0,3377.0,4387.0,2143.0,662.0,229.0,17712.0,2415.0,7799.0,5984.0,1200.0,176.0,138.0
0600947,16177.0,312.0,239.0,256.0,302.0,403.0,497.0,566.0,625.0,727.0,1721.0,2264.0,3278.0,2127.0,1145.0,1044.0,671.0,76409.0,16177.0,23614.0,21981.0,19786.0,2195.0,264.0,127.0,0.0,8.0,123.0,0.0,6.0,16.0,26.0,163.0,122.0,1042.0,30629.0,14597.0,16032.0,12710.0,32.0,12678.0,12353.0,325.0,1887.0,11931.0,0.0,11931.0,11617.0,314.0,4101.0,16141.0,10687.0,137.0,2740.0,6247.0,1182.0,314.0,67.0,5454.0,118.0,2562.0,2415.0,306.0,35.0,18.0
0601094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0601150,2816.0,325.0,237.0,197.0,175.0,199.0,137.0,144.0,145.0,106.0,252.0,287.0,269.0,198.0,40.0,71.0,34.0,39722.0,2816.0,3418.0,3096.0,2432.0,664.0,181.0,173.0,0.0,8.0,0.0,0.0,0.0,5.0,25.0,56.0,0.0,55.0,6211.0,3119.0,3092.0,2168.0,0.0,2168.0,1997.0,171.0,951.0,1657.0,0.0,1657.0,1508.0,149.0,1435.0,2869.0,1398.0,68.0,327.0,665.0,232.0,76.0,30.0,1471.0,260.0,779.0,306.0,93.0,28.0,5.0
