,sf1_2010_tract,acs5_2013_tract,sf3_2000_tract,sf1_2000_tract,sf1_2000_place,sf1_2010_place,acs5_2013_place,sf3_2000_place
B01003_001E Total,,60362,,,,,817501,
B01003_001M Standard Error For!!Total,,1045.127662,,,,,0,
B19001_001E Total:,,20759,,,,,345344,
"B19001_002E Less than $10,000",,1190,,,,,23209,
P0010001 Total Population,58820,,,,,805235,,
P001001 Population:Total [1,,,,37753,776733,,,
P052001 Total: Households,,,10845,,,,,329850
"P052002 Total:  Less than $10,000",,,999,,,,,32261
,,,,,,,,
,,,,,,,,
,,,,1.558021879,,,,
