,P001001 Population:Total [1
0600212,2390.0
0600296,18130.0
0600394,20537.0
0600562,72259.0
0600618,15626.0
0600674,16444.0
0600884,85804.0
0600947,40166.0
0601094,0.0
0601150,8622.0
0601164,761.0
0601192,13143.0
0601228,136.0
0601290,42610.0
0601360,6522.0
0601444,2892.0
0601458,13479.0
0601514,196.0
0601640,9774.0
0601651,2436.0
0602000,328014.0
0602042,9022.0
0602132,3004.0
0602168,3148.0
0602252,90532.0
0602364,54239.0
0602378,9396.0
0602382,2361.0
0602420,2332.0
0602462,53054.0
0602476,16651.0
0602553,96025.0
0602700,3239.0
0602770,4218.0
0602812,2797.0
0602868,15851.0
0602896,16380.0
0602924,12956.0
0602980,20793.0
0603064,26411.0
0603092,7194.0
0603162,23113.0
0603190,2053.0
0603204,12462.0
0603209,7808.0
0603274,3127.0
0603302,14674.0
0603316,672.0
0603344,15148.0
0603386,44712.0
0603526,247057.0
0603666,75837.0
0603820,23562.0
0604030,21119.0
0604415,21534.0
0604478,2359.0
0604503,5004.0
0604541,14351.0
0604576,5115.0
0604716,133.0
0604734,4232.0
0604758,11384.0
0604772,342.0
0604856,26.0
0604870,36664.0
0604982,72878.0
0604996,44054.0
0605108,25123.0
0605164,2125.0
0605290,26865.0
0605332,2364.0
0606000,102743.0
0606028,6229.0
0606150,2238.0
0606210,2312.0
0606308,33784.0
0606406,5779.0
0606434,5438.0
0606475,149.0
0606560,1793.0
0606616,1350.0
0606635,1266.0
0606728,1037.0
0606798,3575.0
0606933,10048.0
0606982,1143.0
0606994,50.0
0607064,19318.0
0607162,1135.0
0607172,265.0
0607218,12155.0
0607260,1423.0
0607274,1823.0
0607316,1246.0
0607372,366.0
0607379,7300.0
0607414,12401.0
0607498,3401.0
0607525,1588.0
0607568,2025.0
0607578,1325.0
0607596,2535.0
0607624,15169.0
0607652,4081.0
0607750,182.0
0607848,6665.0
0607946,855.0
0607974,120.0
0608058,22052.0
0608100,35410.0
0608142,23302.0
0608172,5161.0
0608310,3597.0
0608338,4026.0
0608744,17.0
0608758,3828.0
0608786,78282.0
0608848,1704.0
0608954,100316.0
0608968,5239.0
0609066,28158.0
0609122,3217.0
0609332,1266.0
0609346,916.0
0609353,4518.0
0609360,2229.0
0609598,20033.0
0609710,27109.0
0609780,8385.0
0609864,7139.0
0609878,7289.0
0609892,5190.0
0610032,762.0
0610046,57077.0
0610074,6232.0
0610088,3258.0
0610256,14549.0
0610345,38138.0
0610559,8197.0
0610561,8854.0
0610816,655.0
0610914,37.0
0610928,9952.0
0611040,10033.0
0611166,0.0
0611194,78247.0
0611250,4081.0
0611324,4700.0
0611390,49742.0
0611446,14194.0
0611481,156.0
0611530,89730.0
0611600,109.0
0611614,2103.0
0611656,3180.0
0611691,18874.0
0611964,57292.0
0611978,6724.0
0612048,42647.0
0612132,2943.0
0612524,34609.0
0612552,51488.0
0612612,1069.0
0612669,3142.0
0612734,9027.0
0612902,13837.0
0612916,5891.0
0612930,2316.0
0613014,59954.0
0613077,387.0
0613157,1761.0
0613182,146.0
0613210,67168.0
0613214,66787.0
0613294,11127.0
0613364,1444.0
0613392,173556.0
0613560,10581.0
0613588,85071.0
0613756,33998.0
0613882,10762.0
0613945,13142.0
0613966,2402.0
0614106,90.0
0614190,6831.0
0614218,68468.0
0614232,694.0
0614260,22724.0
0614274,11668.0
0614302,1638.0
0614498,1496.0
0614736,1191.0
0614890,47662.0
0614904,2405.0
0614946,5402.0
0614974,12568.0
0615044,93493.0
0616000,121780.0
0616035,1095.0
0616210,2363.0
0616224,14458.0
0616322,6741.0
0616350,124966.0
0616378,24100.0
0616434,2431.0
0616462,9100.0
0616532,108724.0
0616560,6471.0
0616580,13057.0
0616630,2960.0
0616651,9462.0
0616728,1175.0
0616742,46837.0
0617022,4006.0
0617030,4028.0
0617050,258.0
0617106,2716.0
0617162,10218.0
0617267,152.0
0617274,3194.0
0617288,290.0
0617498,24208.0
0617568,38816.0
0617610,50546.0
0617708,4491.0
0617722,2933.0
0617750,46229.0
0617918,103621.0
0617946,35110.0
0617988,41715.0
0618030,54.0
0618100,60308.0
0618153,3587.0
0618324,1433.0
0618352,9012.0
0618394,38824.0
0618464,8022.0
0618485,674.0
0618506,4389.0
0618590,4531.0
0618674,950.0
0618688,1650.0
0618695,1168.0
0618856,3446.0
0618926,376.0
0618996,16582.0
0619024,792.0
0619052,2337.0
0619150,988.0
0619192,56287.0
0619220,4888.0
0619262,319.0
0619318,16844.0
0619339,8981.0
0619402,16103.0
0619406,2702.0
0619455,1539.0
0619570,727.0
0619584,886.0
0619612,4581.0
0619766,107323.0
0619990,21486.0
0620018,29973.0
0620032,504.0
0620242,1923.0
0620270,5220.0
0620284,585.0
0620438,6583.0
0620536,3.0
0620550,9286.0
0620598,8133.0
0620697,14823.0
0620746,9538.0
0620802,124283.0
0620907,2742.0
0620928,1966.0
0620942,426.0
0620956,29506.0
0620984,6045.0
0621012,6730.0
0621026,2398.0
0621061,3357.0
0621096,14512.0
0621138,177.0
0621188,2078.0
0621530,67.0
0621600,5909.0
0621712,94869.0
0621782,37835.0
0621796,23171.0
0621810,4590.0
0621880,18016.0
0621894,1534.0
0621936,5724.0
0622020,59984.0
0622034,1591.0
0622146,205.0
0622230,115965.0
0622300,24297.0
0622370,6193.0
0622412,16033.0
0622454,12260.0
0622510,3954.0
0622587,3899.0
0622594,6882.0
0622622,3903.0
0622678,58014.0
0622790,5963.0
0622804,133559.0
0622846,1858.0
0622972,781.0
0623042,26128.0
0623126,9168.0
0623150,2244.0
0623168,7319.0
0623182,96178.0
0623294,28008.0
0623350,9470.0
0623462,29100.0
0623532,648.0
0623616,8737.0
0623630,262.0
0623812,153.0
0623826,1051.0
0623910,1382.0
0623973,2505.0
0624092,13643.0
0624134,5743.0
0624477,60197.0
0624498,27653.0
0624638,51884.0
0624680,128929.0
0624722,17426.0
0624730,10899.0
0624764,3512.0
0624834,1791.0
0624897,1197.0
0624960,2370.0
0625058,7026.0
0625128,660.0
0625296,10497.0
0625338,28803.0
0625380,54978.0
0625436,3979.0
0625534,2348.0
0625576,6000.0
0626000,203413.0
0626028,4109.0
0626056,254.0
0627000,427652.0
0627014,519.0
0627080,895.0
0628000,126003.0
0628021,31.0
0628112,19472.0
0628168,57746.0
0628182,9747.0
0629000,165196.0
0629252,136.0
0629350,962.0
0629399,1389.0
0629504,41464.0
0629644,14853.0
0630000,194973.0
0630014,49415.0
0630028,992.0
0630282,7434.0
0630345,8023.0
0630378,55204.0
0630392,7525.0
0630476,2394.0
0630560,831.0
0630658,11626.0
0630693,19388.0
0630703,3246.0
0630798,10922.0
0630812,1815.0
0630882,1077.0
0630994,12583.0
0631029,146.0
0631099,1859.0
0631134,200.0
0631162,1160.0
0631246,351.0
0631260,5382.0
0631375,3388.0
0631393,13067.0
0631414,5659.0
0631470,2441.0
0631568,4698.0
0631596,53122.0
