,P001001 Population:Total [1,P015001 Households:Total,P008001 HISPANIC:TotalHispanic'&'NotHispanic,P008002 HISPANIC:Total NotHispanic or Latino,P008003 HISPANIC:NotHisp:White alone,P008004 HISPANIC:NotHisp:Bl/AfAm alone,P008005 HISPANIC:NotHisp:AmInd/AK alone,P008006 HISPANIC:NotHisp:Asian alone,P008007 HISPANIC:NotHisp:HI alone,P008008 HISPANIC:NotHisp:Other alone,P008009 HISPANIC:NotHisp:Two+races,P008010 HISPANIC:Total Hispanic or Latino,P008011 HISPANIC:Hisp:White alone,P008012 HISPANIC:Hisp:Bl/AfAm alone,P008013 HISPANIC:Hisp:AmInd/AK alone,P008014 HISPANIC:Hisp:Asian alone,P008015 HISPANIC:Hisp:HI alone,P008016 HISPANIC:Hisp:Other alone,P008017 HISPANIC:Hisp:Two+ races,H003001 OCCUPANCY STATUS:Housing Units:Total,H003002 OCCUPANCY STATUS:Housing Units:Occupied,H003003 OCCUPANCY STATUS:Housing Units:Vacant,H004001 TENURE:Housing Units:Total,H004002 TENURE:Housing Units:Owner occupied,H004003 TENURE:Housing Units:Renter occupied,P012001 SEX BY AGE:Total Male'&'Female,P012002 SEX BY AGE:Total Male,P012026 SEX BY AGE:Total Female
06001400100,2498.0,1145.0,2498.0,2401.0,1937.0,114.0,4.0,280.0,5.0,6.0,55.0,97.0,68.0,1.0,3.0,1.0,0.0,13.0,11.0,1177.0,1145.0,32.0,1145.0,1037.0,108.0,2498.0,1261.0,1237.0
06001400200,1910.0,862.0,1910.0,1793.0,1509.0,58.0,5.0,147.0,0.0,9.0,65.0,117.0,72.0,0.0,0.0,2.0,0.0,29.0,14.0,873.0,862.0,11.0,862.0,497.0,365.0,1910.0,949.0,961.0
06001400300,4878.0,2495.0,4878.0,4564.0,3277.0,662.0,15.0,352.0,10.0,41.0,207.0,314.0,149.0,5.0,11.0,3.0,0.0,99.0,47.0,2567.0,2495.0,72.0,2495.0,1003.0,1492.0,4878.0,2342.0,2536.0
06001400400,3659.0,1803.0,3659.0,3418.0,2357.0,608.0,13.0,245.0,12.0,15.0,168.0,241.0,122.0,11.0,3.0,2.0,0.0,71.0,32.0,1880.0,1803.0,77.0,1803.0,722.0,1081.0,3659.0,1729.0,1930.0
06001400500,3410.0,1533.0,3410.0,3047.0,1268.0,1415.0,10.0,168.0,2.0,24.0,160.0,363.0,100.0,21.0,7.0,4.0,6.0,163.0,62.0,1592.0,1533.0,59.0,1533.0,581.0,952.0,3410.0,1577.0,1833.0
06001400600,1707.0,722.0,1707.0,1559.0,396.0,985.0,6.0,74.0,0.0,15.0,83.0,148.0,33.0,11.0,0.0,3.0,1.0,70.0,30.0,746.0,722.0,24.0,722.0,288.0,434.0,1707.0,781.0,926.0
06001400700,4451.0,1799.0,4451.0,4152.0,752.0,2975.0,12.0,170.0,6.0,16.0,221.0,299.0,115.0,32.0,2.0,0.0,1.0,118.0,31.0,1901.0,1799.0,102.0,1799.0,715.0,1084.0,4451.0,2031.0,2420.0
06001400800,3368.0,1349.0,3368.0,3067.0,705.0,1907.0,19.0,286.0,2.0,13.0,135.0,301.0,79.0,28.0,4.0,4.0,0.0,139.0,47.0,1420.0,1349.0,71.0,1349.0,437.0,912.0,3368.0,1592.0,1776.0
06001400900,2456.0,1060.0,2456.0,2254.0,499.0,1505.0,11.0,109.0,3.0,17.0,110.0,202.0,64.0,20.0,4.0,2.0,0.0,87.0,25.0,1116.0,1060.0,56.0,1060.0,396.0,664.0,2456.0,1148.0,1308.0
06001401000,5709.0,2299.0,5709.0,5162.0,525.0,4026.0,16.0,349.0,11.0,19.0,216.0,547.0,231.0,41.0,11.0,8.0,4.0,186.0,66.0,2475.0,2299.0,176.0,2299.0,740.0,1559.0,5709.0,2590.0,3119.0
