,P052001 Total: Households,"P052002 Total:  Less than $10,000"
0600212,727.0,26.0
0600296,4750.0,572.0
0600394,6807.0,193.0
0600562,30259.0,1714.0
0600618,5195.0,63.0
0600674,7034.0,429.0
0600884,29126.0,2815.0
0600947,16177.0,312.0
0601094,0.0,0.0
0601150,2816.0,325.0
0601164,207.0,41.0
0601192,4766.0,263.0
0601228,61.0,2.0
0601290,14796.0,830.0
0601360,2583.0,108.0
0601444,1215.0,243.0
0601458,3383.0,191.0
0601514,73.0,6.0
0601640,3164.0,268.0
0601651,787.0,90.0
0602000,96902.0,5769.0
0602042,3353.0,638.0
0602132,1297.0,180.0
0602168,797.0,15.0
0602252,29351.0,1624.0
0602364,18592.0,1612.0
0602378,4034.0,217.0
0602382,829.0,49.0
0602420,690.0,57.0
0602462,19073.0,1336.0
0602476,7024.0,1657.0
0602553,42880.0,3982.0
0602700,1004.0,94.0
0602770,1816.0,181.0
0602812,935.0,32.0
0602868,6478.0,507.0
0602896,4468.0,262.0
0602924,3010.0,560.0
0602980,7232.0,594.0
0603064,9498.0,619.0
0603092,2385.0,24.0
0603162,7237.0,692.0
0603190,795.0,47.0
0603204,5319.0,391.0
0603209,2402.0,451.0
0603274,1155.0,69.0
0603302,1927.0,159.0
0603316,274.0,0.0
0603344,3772.0,248.0
0603386,12389.0,1157.0
0603526,83601.0,9154.0
0603666,16953.0,1221.0
0603820,8911.0,954.0
0604030,7670.0,891.0
0604415,6525.0,638.0
0604478,939.0,93.0
0604503,1450.0,99.0
0604541,5908.0,296.0
0604576,1450.0,20.0
0604716,45.0,2.0
0604734,1625.0,31.0
0604758,3928.0,497.0
0604772,152.0,14.0
0604856,11.0,11.0
0604870,8932.0,950.0
0604982,23394.0,2132.0
0604996,9470.0,969.0
0605108,10401.0,343.0
0605164,960.0,63.0
0605290,10350.0,371.0
0605332,886.0,47.0
0606000,45007.0,6757.0
0606028,2501.0,114.0
0606150,822.0,115.0
0606210,1122.0,90.0
0606308,15038.0,1189.0
0606406,2301.0,133.0
0606434,2359.0,249.0
0606475,67.0,21.0
0606560,564.0,60.0
0606616,564.0,53.0
0606635,594.0,94.0
0606728,206.0,19.0
0606798,1649.0,261.0
0606933,3316.0,6.0
0606982,516.0,0.0
0606994,29.0,7.0
0607064,4924.0,470.0
0607162,512.0,48.0
0607172,132.0,27.0
0607218,4034.0,676.0
0607260,696.0,0.0
0607274,812.0,115.0
0607316,493.0,29.0
0607372,169.0,44.0
0607379,2302.0,52.0
0607414,4162.0,126.0
0607498,1266.0,55.0
0607525,607.0,58.0
0607568,869.0,129.0
0607578,349.0,34.0
0607596,1172.0,92.0
0607624,5573.0,397.0
0607652,1560.0,82.0
0607750,31.0,0.0
0607848,2137.0,96.0
0607946,292.0,2.0
0607974,50.0,4.0
0608058,6644.0,1071.0
0608100,12994.0,595.0
0608142,7546.0,225.0
0608172,1162.0,148.0
0608310,1600.0,94.0
0608338,1313.0,59.0
0608744,6.0,0.0
0608758,1424.0,75.0
0608786,23454.0,1263.0
0608848,556.0,90.0
0608954,41656.0,3584.0
0608968,2089.0,110.0
0609066,12503.0,540.0
0609122,1329.0,209.0
0609332,332.0,27.0
0609346,356.0,30.0
0609353,1278.0,288.0
0609360,759.0,168.0
0609598,7337.0,164.0
0609710,6828.0,993.0
0609780,3072.0,325.0
0609864,3019.0,245.0
0609878,894.0,138.0
0609892,2029.0,142.0
0610032,199.0,19.0
0610046,21434.0,873.0
0610074,2812.0,178.0
0610088,1114.0,55.0
0610256,5551.0,134.0
0610345,15973.0,749.0
0610559,1424.0,29.0
0610561,1974.0,66.0
0610816,105.0,8.0
0610914,23.0,0.0
0610928,3733.0,111.0
0611040,4748.0,309.0
0611166,0.0,0.0
0611194,31410.0,1287.0
0611250,2273.0,158.0
0611324,2067.0,110.0
0611390,20627.0,1493.0
0611446,5030.0,331.0
0611481,59.0,20.0
0611530,24618.0,1544.0
0611600,43.0,3.0
0611614,576.0,67.0
0611656,1031.0,0.0
0611691,7077.0,419.0
0611964,21659.0,871.0
0611978,1430.0,126.0
0612048,14104.0,1146.0
0612132,1314.0,97.0
0612524,10421.0,883.0
0612552,15383.0,510.0
0612612,514.0,127.0
0612669,1410.0,55.0
0612734,3104.0,198.0
0612902,4661.0,399.0
0612916,2415.0,144.0
0612930,933.0,107.0
0613014,23424.0,4038.0
0613077,146.0,29.0
0613157,679.0,83.0
0613182,51.0,12.0
0613210,17408.0,917.0
0613214,19988.0,549.0
0613294,2587.0,322.0
0613364,271.0,5.0
0613392,57626.0,4204.0
0613560,2654.0,116.0
0613588,33457.0,1849.0
0613756,11344.0,742.0
0613882,3926.0,70.0
0613945,5546.0,1164.0
0613966,1154.0,237.0
0614106,53.0,0.0
0614190,2501.0,253.0
0614218,24154.0,1885.0
0614232,247.0,13.0
0614260,4719.0,559.0
0614274,3534.0,412.0
0614302,600.0,40.0
0614498,622.0,83.0
0614736,318.0,12.0
0614890,14741.0,1607.0
0614904,1107.0,113.0
0614946,1898.0,210.0
0614974,3293.0,375.0
0615044,22272.0,3309.0
0616000,44111.0,2459.0
0616035,474.0,37.0
0616210,980.0,71.0
0616224,2726.0,380.0
0616322,2492.0,413.0
0616350,37917.0,1788.0
0616378,7760.0,320.0
0616434,913.0,25.0
0616462,3801.0,141.0
0616532,39207.0,2334.0
0616560,2492.0,82.0
0616580,4064.0,6.0
0616630,1049.0,149.0
0616651,3585.0,248.0
0616728,425.0,71.0
0616742,15953.0,1227.0
0617022,1541.0,469.0
0617030,1588.0,205.0
0617050,111.0,6.0
0617106,985.0,67.0
0617162,3966.0,295.0
0617267,62.0,13.0
0617274,1527.0,93.0
0617288,129.0,0.0
0617498,5424.0,660.0
0617568,16636.0,1037.0
0617610,18206.0,650.0
0617708,944.0,170.0
0617722,1279.0,146.0
0617750,15695.0,663.0
0617918,30794.0,1603.0
0617946,14449.0,675.0
0617988,15014.0,185.0
0618030,48.0,17.0
0618100,22959.0,3349.0
0618153,1257.0,60.0
0618324,570.0,19.0
0618352,2879.0,164.0
0618394,8485.0,1213.0
0618464,2123.0,229.0
0618485,290.0,18.0
0618506,2182.0,140.0
0618590,2122.0,31.0
0618674,253.0,51.0
0618688,708.0,19.0
0618695,465.0,11.0
0618856,1155.0,68.0
0618926,135.0,15.0
0618996,5863.0,966.0
0619024,257.0,64.0
0619052,657.0,41.0
0619150,349.0,0.0
0619192,17733.0,821.0
0619220,1967.0,209.0
0619262,141.0,0.0
0619318,4559.0,550.0
0619339,3260.0,57.0
0619402,5102.0,241.0
0619406,1129.0,77.0
0619455,706.0,49.0
0619570,318.0,0.0
