,P052001 Total: Households,"P052002 Total:  Less than $10,000"
06001400100,1091.0,35.0
06001400200,916.0,14.0
06001400300,2500.0,192.0
06001400400,1806.0,99.0
06001400500,1541.0,191.0
06001400600,726.0,70.0
06001400700,1797.0,341.0
06001400800,1352.0,243.0
06001400900,1059.0,161.0
06001401000,2302.0,492.0
06001401100,1955.0,197.0
06001401200,1193.0,120.0
06001401300,1353.0,427.0
06001401400,1474.0,449.0
06001401500,930.0,175.0
06001401600,518.0,118.0
06001401700,541.0,124.0
06001401800,665.0,169.0
06001401900,227.0,4.0
06001402000,6.0,2.0
06001402100,506.0,232.0
06001402200,525.0,104.0
06001402300,172.0,33.0
06001402400,1037.0,348.0
06001402500,591.0,200.0
06001402600,530.0,216.0
06001402700,659.0,145.0
06001402800,1220.0,595.0
06001402900,885.0,284.0
06001403000,1386.0,561.0
06001403100,498.0,148.0
06001403200,34.0,0.0
06001403300,918.0,210.0
06001403400,2385.0,345.0
06001403500,3713.0,675.0
06001403600,2579.0,270.0
06001403700,3118.0,293.0
06001403800,1892.0,75.0
06001403900,2184.0,138.0
06001404000,1778.0,106.0
06001404100,3366.0,357.0
06001404200,1350.0,31.0
06001404300,1313.0,48.0
06001404400,2105.0,26.0
06001404501,655.0,7.0
06001404502,2384.0,33.0
06001404600,1745.0,36.0
06001404700,710.0,4.0
06001404800,1317.0,147.0
06001404900,1954.0,145.0
06001405000,1566.0,136.0
06001405100,1594.0,64.0
06001405200,2493.0,167.0
06001405300,3084.0,341.0
06001405400,2811.0,445.0
06001405500,1553.0,256.0
06001405600,1449.0,120.0
06001405700,1343.0,140.0
06001405800,1325.0,180.0
06001405900,2043.0,291.0
06001406000,1319.0,242.0
06001406100,1193.0,148.0
06001406201,1402.0,247.0
06001406202,1245.0,203.0
06001406300,1199.0,208.0
06001406400,655.0,57.0
06001406500,1887.0,282.0
06001406600,2609.0,259.0
06001406700,2151.0,84.0
06001406800,1366.0,45.0
06001406900,1455.0,97.0
06001407000,2083.0,230.0
06001407100,2336.0,256.0
06001407200,1755.0,231.0
06001407300,712.0,96.0
06001407400,1127.0,186.0
06001407500,1252.0,260.0
06001407600,2220.0,382.0
06001407700,1766.0,150.0
06001407800,754.0,59.0
06001407900,1143.0,45.0
06001408000,812.0,18.0
06001408100,2360.0,76.0
06001408200,1721.0,244.0
06001408300,1746.0,131.0
06001408400,1200.0,185.0
06001408500,1559.0,299.0
06001408600,1640.0,222.0
06001408700,2318.0,427.0
06001408800,1481.0,350.0
06001408900,1019.0,172.0
06001409000,971.0,175.0
06001409100,682.0,122.0
06001409200,781.0,90.0
06001409300,1483.0,270.0
06001409400,1077.0,122.0
06001409500,916.0,177.0
06001409600,1470.0,265.0
06001409700,1560.0,297.0
06001409800,1179.0,158.0
06001409900,1381.0,40.0
06001410000,1086.0,33.0
06001410100,1012.0,148.0
06001410200,1139.0,161.0
06001410300,980.0,192.0
06001410400,1047.0,180.0
06001420100,941.0,32.0
06001420200,1230.0,79.0
06001420300,2066.0,127.0
06001420400,603.0,89.0
06001420500,971.0,52.0
06001420600,1223.0,50.0
06001421100,826.0,25.0
06001421200,1439.0,23.0
06001421300,1678.0,19.0
06001421400,634.0,15.0
06001421500,1611.0,54.0
06001421600,1631.0,97.0
06001421700,1499.0,116.0
06001421800,961.0,22.0
06001421900,1714.0,114.0
06001422000,558.0,55.0
06001422100,1097.0,125.0
06001422200,1572.0,161.0
06001422300,1607.0,175.0
06001422400,2014.0,406.0
06001422500,1619.0,432.0
06001422600,51.0,26.0
06001422700,1079.0,382.0
06001422800,1576.0,733.0
06001422900,1511.0,547.0
06001423000,2066.0,165.0
06001423100,1824.0,184.0
06001423200,1125.0,183.0
06001423300,1527.0,233.0
06001423400,2015.0,245.0
06001423500,1363.0,299.0
06001423601,1186.0,127.0
06001423602,2596.0,912.0
06001423700,1401.0,322.0
06001423800,1351.0,27.0
06001423901,866.0,71.0
06001423902,742.0,66.0
06001424001,1463.0,222.0
06001424002,805.0,174.0
06001425100,3968.0,481.0
06001426100,2119.0,14.0
06001426200,1662.0,33.0
06001427100,1406.0,23.0
06001427200,1672.0,209.0
06001427300,2088.0,174.0
06001427400,346.0,0.0
06001427500,107.0,0.0
06001427600,1713.0,155.0
06001427700,2381.0,116.0
06001427800,2071.0,151.0
06001427900,2163.0,124.0
06001428000,1451.0,59.0
06001428100,1886.0,76.0
06001428200,2707.0,148.0
06001428301,2479.0,73.0
06001428302,2702.0,55.0
06001428400,1967.0,176.0
06001428500,1525.0,101.0
06001428600,1595.0,74.0
06001430100,2880.0,50.0
06001430200,2441.0,84.0
06001430300,1357.0,40.0
06001430400,718.0,8.0
06001430500,2057.0,43.0
06001430600,2086.0,58.0
06001430700,1381.0,22.0
06001430800,2131.0,117.0
